System,SubSystem,Value,Description,Severity
SIG,ATC,INCOMPATIBLE MOD,Train Readiness State transition failure,E
SIG,ATC,ALARM,TDMS failure in one lane,1
SIG,ATC,ALARM,TDMS-Train event recorder link failure,E
SIG,ATC,ALARM,TDMS- TIMS Communication Link Failure,E
SIG,ATC,ALARM,TDMS-ATP Communication Link Failure,1
SIG,ATC,ALARM,TDMS-ATO Communication Link Failure,1
SIG,ATC,ALARM,TDMS-DMI 1 Communication Link Failure,E
SIG,ATC,ALARM,TDMS-DMI 2 Communication Link Failure,E
SIG,ATC,ALARM,TDMS-Local ATS Communication Link Failure,1
SIG,ATC,MMS LINK FAIL,TDMS-PSD Communication Link Failure,E
SIG,ATC,PLC LINK FAIL,TDMS-PSD Communication Link Failure,1
SIG,ATC,ALL LINKS FAIL,TDMS-PSD Communication Link Failure,1
SIG,ATC,ACTIVATED,EB due to Change in ATP State while train is moving (NR),2
SIG,ATC,ALARM,Evacuation process started,E
SIG,ATC,ALARM,Train overrun detected ,E
SIG,ATC,ALARM,Jog Failure,E
SIG,ATC,ALARM,Depot Movement Request Failure,E
RSC,DRS,>=1 OFFLINE,Summary Status of Train Doors,E
RSC,DRS,>=1 OBSTRUCT,Summary of Train Doors Status with Obstruct,E
RSC,DRS,>=1 FAULT/INVLD,Summary of Train Doors Status with Fault,E
RSC,DRS,>=1 EED ACT,Summary of Train Doors Status with EED Act,E
RSC,DRS,>=1 PUSH BACK,Summary of Train Doors Status with Push Back,E
RSC,DRS,>=1 EAD ACT,Summary of Train Doors Status with EAD Act,E
RSC,DRS,>=1 ISOLATED,Summary of Train Doors Status with Isolated,E
RSC,PIS,UNKNOWN,Train LED Display (LEDD),3
RSC,PIS,FAULT,Train LED Display (LEDD),3
RSC,PIS,UNKNOWN,Train Dynamic Route Map Display (DRMD),3
RSC,PIS,FAULT,Train Dynamic Route Map Display (DRMD),3
RSC,PIS,UNKNOWN,Train Number Display (TND),3
RSC,PIS,FAULT,Train Number Display (TND),3
RSC,PIS,UNKNOWN,Train LCD Display,3
RSC,PIS,FAULT,Train LCD Display,3
RSC,ACV,UNKNOWN,Summary Status of Fresh Air Dampers,2
RSC,ACV,>=1 FAULT,Summary Status of Fresh Air Dampers,2
RSC,BRK,BRAKE FAULT ,Brake Valve Fatal Error in Bogie1,2
RSC,BRK,BRAKE FAULT ,Brake Valve Fatal Error in Bogie2,2
RSC,BRK,BRAKE FAULT ,Brake Valve Fatal Error in Bogie3,2
RSC,BRK,BRAKE FAULT ,Brake Valve Fatal Error in Bogie4,2
RSC,BRK,BRAKE FAULT ,Brake Valve Fatal Error in Bogie5,2
RSC,BRK,BRAKE FAULT ,Brake Valve Fatal Error in Bogie6,2
RSC,BRK,NOT AVAILABLE,At least 5 Brakes Available,2
RSC,TIM,>= 80%,ODBS Filling Level (warning) ,3
RSC,TIM, = 100%,ODBS Filling Level (alarm),3
RSC,TIM,FAULT,CCU-D Life sign,2
RSC,TIM,NO FEEDBACK,Critical alarms acknowledgement from ATC,2
RSC,TIM,NO FEEDBACK,Critical alarms  acknowledgement from Radio,2
RSC,TIM,NO FEEDBACK,Non- Critical alarms acknowledgement from ATC,2
RSC,END,UNKNOWN,Train Coupling,2
RSC,END,FULL COUPLED,Train Coupling,2
RSC,END,NOT DETECTED,Train Coupling,2
RSC,END,STUCK,Train Coupling,2
RSC,END,MECH COUPLED,Train Coupling,2
RSC,DRV,OPEN,DM2 Driver Console Cover ,2
RSC,ACV,>=1 CAR LOSS,Summary Status of ACV Total Loss,2
RSC,DRV,DETECTED,Master Fault,2
RSC,TIM,FAULT,Multi-Vehicle Bus (MVB),2
RSC,TIM,FAULT,Internet Protocol (IP) Ring,2
RSC,LKO,FAULT,MRE Pressure Lockout Fault,2
RSC,LKO,FAULT,Parking Brake Lockout Fault,2
RSC,LKO,FAULT,Service Brake Lockout Fault,2
RSC,LKO,FAULT,Door Interlock Lockout Fault,2
RSC,LKO,FAULT,Loss of Brakes Lockout Fault,2
RSC,LKO,FAULT,PEC Activation Lockout Fault,2
RSC,BRK,DISCORDANCE,Five Brakes Trainline,2
RSC,CAB,>=1 OPEN,Summary Status of Cubicle Door ,E
RSC,FSD,DETECTED,DM1 FDCU Low Priority Failure,2
RSC,PIS,MASTER ERROR,ACSU Master Error,3
RSC,COM,TIME-OUT,TIMS Test Call Timout,3
RSC,FSD,DETECTED,DM2 FDCU Low Priority Failure,2
RSC,FSD,DETECTED,Summary Status of FDCU Low Priortiy Failure,2
RSC,DOR,DISCORDANCE,Door Integrity Loop status with Doors Status,2
RSC,TRB,ACTIVATED,TRB Mode,2
RSC,ZVR,DISCORDANCE,Zero Speed indication,2
RSC,EB,UNKNOWN,Emergency Brake ,2
RSC,EB,BY ATP,Emergency Brake ,2
RSC,EB,BY DMS,Emergency Brake ,2
RSC,EB,BY EMPB,Emergency Brake ,2
RSC,EB,BY OBS,Emergency Brake ,2
RSC,EB,OTHERS,Emergency Brake ,2
COM,RCS,FAILED,DM1 Radio Coverage,2
COM,RCS,FAILED,DM2 Radio Coverage,2
RSC,PIS,INVALID,DM2 Audio System,2
RSC,PIS,ERROR,DM2 Audio System,2
RSC,PIS,DEGRADE MODE,DM2 Audio System,2
RSC,TIS,DOWNLOADING,TTIS Download,3
RSC,TIS,UNKNOWN,Infotainment Server,3
RSC,TIS,FAULT,Infotainment Server,3
RSC,BRK,UNKNOWN,Brake Control Unit (BCU),2
RSC,BRK,MINOR FAULT,Brake Control Unit (BCU),E
RSC,BRK,MAJOR FAULT,Brake Control Unit (BCU),E
RSC,PIS,FAULT,DM1 Passenger Announcement Control Unit (PACU),2
RSC,PIS,FAULT,DM2 Passenger Announcement Control Unit (PACU),2
RSC,EMR,UNKNOWN,Emergency Equipment,2
RSC,EMR,>=1 ACTIVATED,Emergency Equipment,2
RSC,BRK,UNKNOWN,Train Driving Direction,2
SIG,ATC,ALARM,TDMS has received incomplete PTI Data,E
SIG,ATC,ALARM,TDMS has received an invalid Crew number,E
SIG,ATC,INVALID,TDMS indication of the Daily Checks status,E
SIG,ATC,DAILY CHECK ACTIVE,TDMS indication of the Daily Checks status,E
SIG,ATC,COMPLETED,TDMS indication of the Daily Checks status,E
SIG,ATC,REJECTED,Creep command Status,E
SIG,ATC,FAILURE,TDMS has detected a failure in the Creep Discrete I/O,E
SIG,ATC,FAILURE,TDMS has detected a failure in the Creep Dir Cab1 Discrete I/O,E
SIG,ATC,FAILURE,TDMS has detected a failure in the Creep Dir Cab2 Discrete I/O,E
SIG,ATC,FAILURE,TDMS has detected a failure in the TDMS Sleep Discrete I/O,E
SIG,ATC,FAILURE,TDMS has detected a failure in the TDMS WakeUp Discrete I/O,E
SIG,ATC,FAILURE,TDMS has detected a failure in the Reset ATP Discrete I/O,E
SIG,ATC,FAILURE,TDMS has detected a failure in the Reset AT0 Discrete I/O,E
SIG,ATC,NOT AVAILABLE,UTO Status after wake up,E
RSC,BRK,DISCORDANCE,Four Brakes Trainline,2
RSC,LGT,TRIPPED,Head & Flood Light MCB ,2
RSC,ACV,>50DEGC,Exterior Temperature,2
RSC,ACV,>50DEGC,Interior Temperature,2
COM,TVSS,UNKNOWN,TVSS Back-up Camera,Alert
COM,TVSS,FAULT,TVSS Back-up Camera,Alert
COM,TVSS,UNKNOWN,TVSS Microphone,Alert
COM,TVSS,FAULT,TVSS Microphone,Alert
COM,TVSS,UNKNOWN,TVSS Microphone link,Alert
COM,TVSS,FAULT,TVSS Microphone link,Alert
COM,TVSS,UNKNOWN,TVSS DSP Link,Alert
COM,TVSS,FAULT,TVSS DSP Link,Alert
SIG,ATC,ALARM,ATO reported Train underrun during stabling,E
SIG,ATC,ALARM,Train Stalled detected by ATP due to no FBSS and CBTC,1
SIG,ATC,ACTIVATED,EB due that train exceeded the required maximum distance to stop ( R),1
SIG,ATC,ACTIVATED,EB due to both ATO not available to drive the train in AM ( R),2
SIG,ATC,ACTIVATED,EB due to no signalling system (CBTC/FBSS) available in AM or CM (A),2
SIG,ATC,ACTIVATED,EB due Signalling conditions not satisfied in jogging backwards ( R),2
SIG,ATC,ALARM,DMI 2 has reported an error in the Discrete Input/Output Interface.,E
SIG,ATC,ALARM,ATP has reported a failure in Radio 1,1
SIG,ATC,ALARM,ATP has reported a failure in Radio 2,1
SIG,ATC,ACTIVATED,EB due to both cabs are active at the same time (NR),2
SIG,ATC,ACTIVATED,EB initiated by the ATP,2
RSC,CTCS,ACTIVATED,MCB TBCB 2 in DM1 car,2
RSC,CTCS,ACTIVATED,MCB TBCB 12 in DM1 car,2
RSC,CTCS,ACTIVATED,MCB DDCB in DM1 car,2
RSC,CTCS,ACTIVATED,MCB BUCB 1 / BUCB 2 in T car,2
RSC,CTCS,ACTIVATED,MCB ATCB 1 / ATCB 2 in T car,2
